STUDENT ID,AFE 101,AFE 103,BIO 101,CHM101,CSC 101,GST 111,GST 113,GST 115,MAT 101,PHY 101,PHY 103,PHY 107,STA 111,100L_1ST_GPA,100L_1ST_CGPA,100L_1ST_REMARK,AFE 124,AFE126,AFE128,AFE130,AFE132,CSC 102,CSC 104,GST114,GST122,MAT102,MAT104,PHY 102,PHY108,STA 132,100L_2ND_GPA,100L_2ND_CGPA,100L_2ND_REMARK,AFE 101,AFE 103,AFE203,AFE2051,BIO 101,CHM101,CSC 101,CSC 201,CSC203,CSC205,CSC207,CSC2093,CSC 211,GST 111,GST 113,GST 115,MAT 101,MAT201,MAT 205,PHY 101,PHY 103,PHY 107,STA 111,STA 211,200L_1ST_GPA,200L_1ST_CGPA,200L_1ST_REMARK,AFE126,AFE130,AFE202,CSC 102,CSC 104,CSC202,CSC204,CSC206,CSC208,GST114,GST212,MAT102,MAT104,MAT204,PHY 102,PHY108,PHY202,STA 132,200L_2ND_GPA,200L_2ND_CGPA,200L_2ND_REMARK,AFE 103,AFE203,AFE2051,BIO 101,CSC 201,CSC203,CSC205,CSC207,CSC2093,CSC 211,CSC299,CSC301,CSC303,CSC305,CSC307,CSC309,CSC311,CSC315,GST 113,GST 115,GST301,MAT 101,MAT201,MAT 205,PHY 101,PHY 107,STA 111,STA 211,300L_1ST_GPA,300L_1ST_CGPA,300L_1ST_REMARK,AFE126,AFE128,AFE202,CSC202,CSC 204,CSC 206,CSC 208,CSC208,CSC 302,CSC 304,CSC 306,CSC 308,CSC 310,CSC 312,CSC 314,GST212,MAT 204,PHY 102,PHY108,PHY 202,300L_2ND_GPA,300L_2ND_CGPA,300L_2ND_REMARK
25,57C,54C,22F,60B,55C,60B,64B,70A,47D,62B,64B,0F,70A,3.21,3.21,"PHY107,BIO101",65B,,,,100A,75A,70A,57C,54C,70A,62B,46D,50C,61B,3.96,3.56,"PHY107,BIO101",,,,86A,,,,45D,76A,60B,45D,50C,55C,,,,,76A,50C,,,,,60B,3.56,3.56,"PHY107,BIO101",,,63B,,,56C,74A,63B,50C,,60B,,,71A,,,66B,,4.00,3.65,"PHY107,BIO101",,,,,,,,,,,60B,80A,70A,74A,72A,45D,72A,70A,,,58C,,,,,,,,4.38,3.65,"PHY107,BIO101",,,,,,,,,80A,55C,72A,79A,70A,14F,60B,,,,,,3.91,3.81,"CSC312,PHY107,BIO101"
26,57C,46D,45D,54C,55C,46D,51C,66B,60B,60B,74A,93A,75A,3.46,3.46,PASS,85A,,,77A,,71A,78A,64B,61B,71A,62B,53C,66B,71A,4.42,3.90,PASS,,,,86A,,,,70A,70A,70A,62B,52C,73A,,,,,56C,90A,,,,,60B,4.36,3.90,PASS,,,74A,,,73A,72A,61B,58C,,63B,,,73A,,,81A,,4.48,4.14,PASS,,,,,,,,,,,60B,72A,70A,78A,61B,50C,76A,75A,,,61B,,,,,,,,4.46,4.14,PASS,,,,,,,,,80A,60B,71A,88A,70A,50C,70A,,,,,,4.59,4.21,PASS
27,46D,51C,45D,54C,45D,50C,47D,39F,,48D,61B,74A,51C,2.48,2.48,"GST115,MAT101",61B,,,,75A,50C,70A,46D,55C,50C,45D,45D,67B,45D,3.00,2.73,"GST115,MAT101",,,,77A,,,,45D,63B,25F,45D,55C,70A,,,48D,23F,45D,,,,,,45D,2.07,2.73,"CSC205,MAT101,MAT205,MAT101",,,77A,,,65B,77A,62B,51C,,87A,,,70A,,,58C,,4.14,2.86,"CSC205,MAT101,MAT205,MAT101",,,,,,,45D,,,,60B,,53C,72A,51C,50C,,60B,,,,16F,,51C,,,,,3.00,2.86,"CSC301,CSC311,GST301,MAT101,MAT101",,,,,,,,,55C,51C,71A,71A,60B,50C,46D,,,,,,3.55,2.89,"CSC301,CSC311,GST301,MAT101,MAT101"
28,52C,46D,28F,45D,52C,33F,45D,52C,23F,45D,63B,67B,16F,1.64,1.64,"GST111,BIO101,MAT101,STA111",,57C,65B,,,45D,72A,75A,55C,50C,45D,45D,71A,50C,3.17,2.35,"GST111,BIO101,MAT101,STA111",,,,,50C,,,25F,60B,51C,45D,47D,52C,45D,,,47D,,,,,,60B,,2.50,2.35,"CSC201,STA211,MAT201,MAT205,AFE203,AFE2051",,,84A,,,60B,68B,66B,50C,,67B,,,71A,,,64B,,4.05,2.75,"CSC201,STA211,MAT201,MAT205,AFE203,AFE2051",,,,,45D,,,,,,50C,63B,,68B,62B,50C,50C,,,,,,62B,62B,,,,51C,3.40,2.75,"CSC303,GST301,CSC315,AFE203,AFE2051",,,,,,,,,68B,50C,60B,61B,60B,22F,45D,,,,,,3.05,2.90,"CSC312,CSC303,GST301,CSC315,AFE203,AFE2051"
29,45D,52C,45D,54C,52C,50C,46D,45D,70A,50C,64B,73A,47D,2.96,2.96,PASS,50C,,,60B,,45D,60B,62B,60B,50C,45D,55C,45D,53C,3.04,3.00,PASS,,,,70A,,,,45D,61B,54C,29F,45D,50C,,,,,50C,45D,,,,,45D,2.40,3.00,CSC207,,,82A,,,67B,73A,64B,60B,,76A,,,75A,,,60B,,4.43,3.15,CSC207,,,,,,,,9F,,,62B,70A,46D,52C,48D,45D,45D,46D,,,61B,,,,,,,,2.55,3.15,CSC207,,,,,,,,,70A,45D,50C,51C,50C,45D,45D,,,,,,2.95,3.02,CSC207
30,52C,60B,45D,60B,64B,56C,63B,56C,53C,52C,60B,88A,71A,3.57,3.57,PASS,77A,,63B,,,60B,84A,71A,64B,64B,61B,45D,71A,50C,3.96,3.75,PASS,,,,85A,,,,58C,70A,52C,45D,51C,70A,,,,,71A,55C,,,,,60B,3.64,3.75,PASS,,,79A,,,67B,71A,57C,55C,,75A,,,67B,,,68B,,4.00,3.78,PASS,,,,,,,,,,,57C,74A,70A,80A,56C,65B,60B,70A,,,61B,,,,,,,,4.23,3.78,PASS,,,,,,,,,80A,70A,71A,77A,70A,50C,51C,,,,,,4.45,3.87,PASS
31,52C,51C,45D,50C,45D,45D,47D,53C,75A,46D,55C,47D,45D,2.64,2.64,PASS,,50C,,,84A,45D,46D,53C,60B,50C,21F,52C,63B,50C,2.58,2.62,MAT104,,,63B,,,,,45D,45D,31F,29F,51C,60B,,,,,29F,17F,,,,,55C,1.40,2.62,"MAT205,CSC205,CSC207,MAT201",,,50C,,,45D,50C,45D,55C,,36F,,50C,67B,,,58C,,2.63,2.32,"GST212,MAT205,CSC205,CSC207,MAT201",,,,,,,26F,45D,,,54C,60B,23F,,51C,50C,,50C,,,,,45D,45D,,,,,2.20,2.32,"CSC303,CSC305,CSC311,GST301,GST212,CSC205",,,,,,,,,56C,45D,45D,60B,55C,45D,9F,32F,,,,,2.13,2.29,"CSC314,CSC303,CSC305,CSC311,GST301,GST212,CSC205"
32,61B,75A,57C,70A,83A,60B,71A,74A,76A,77A,78A,78A,81A,4.68,4.68,PASS,,71A,,,95A,76A,78A,62B,63B,79A,80A,60B,68B,87A,4.67,4.67,PASS,,,,,,,,,,,,,,,,,,,,,,,,,0.00,4.67,"CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051",,,,,,,,,,,,,,,,,,,0.00,4.67,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,4.67,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051",,,,,,,,,,,,,,,,,,,,,0.00,4.67,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CCSC302,CSC304,CSC306,CSC308"
33,45D,46D,45D,45D,45D,32F,29F,45D,21F,43F,54C,0F,17F,1.14,1.14,"MAT101,PHY107,GST113,GST111,STA111,PHY101",,46D,,,61B,50C,45D,47D,45D,18F,45D,50C,26F,45D,2.00,1.54,"PHY108,MAT102,MAT101,PHY107,GST113,GST111,STA111,PHY101",,,31F,,,,,45D,,,15F,15F,,,,,45D,45D,45D,45D,,,45D,,1.48,1.54,"AFE203,CSC2093,CSC207,CSC211,STA211,CSC205,CSC203,PHY108,MAT102,PHY107,GST113,GST111",,,54C,,,45D,46D,45D,50C,,46D,,,45D,,,45D,,2.19,1.67,"AFE203,CSC2093,CSC207,CSC211,STA211,CSC205,CSC203,PHY108,MAT102,PHY107,GST113,GST111",,,,,,,,,,,55C,56C,18F,29F,54C,9F,45D,19F,,,60B,,,,,,,,1.58,1.67,"CSC305,CSC303,CSC309,CSC315,AFE203,CSC2093,CSC207,CSC211,STA211,CSC205,CSC203,MAT102,PHY107,GST113,GST111",,,,,,,,,64B,,22F,50C,50C,15F,22F,,,,53C,,1.85,1.65,"CSC312,CSC314,CSC306,CSC304,CSC305,CSC303,CSC309,CSC315,AFE203,CSC2093,CSC207,CSC211,STA211,CSC205,CSC203,MAT102,PHY107,GST113,GST111"
34,54C,54C,53C,51C,51C,53C,50C,52C,50C,50C,61B,78A,47D,3.04,3.04,PASS,,50C,,72A,,50C,81A,63B,56C,62B,50C,45D,63B,45D,3.38,3.19,PASS,,,62B,,,,,52C,50C,60B,46D,45D,61B,,,,,55C,50C,,,,,45D,2.88,3.19,PASS,,,80A,,,71A,65B,64B,63B,,70A,,,70A,,,75A,,4.57,3.41,PASS,,,,,,,,,,,72A,53C,60B,74A,74A,71A,72A,73A,,,56C,,,,,,,,4.50,3.41,PASS,,,,,,,,,74A,50C,70A,71A,70A,71A,64B,,,,,,4.59,3.64,PASS
35,50C,51C,45D,51C,61B,45D,26F,31F,61B,46D,60B,80A,61B,2.79,2.79,"GST113,GST115",60B,,,,88A,50C,70A,46D,53C,50C,45D,36F,68B,50C,2.83,2.81,"PHY102,GST113,GST115",,,,61B,,,,50C,60B,54C,50C,50C,53C,,,47D,,45D,,,,,,45D,2.83,2.81,"MAT205,GST113",,,75A,,,71A,67B,63B,50C,,73A,,,64B,75A,,66B,,4.25,3.16,"MAT205,GST113",,,,,,,,,,,62B,70A,53C,70A,60B,45D,50C,52C,,,51C,,,45D,,,,,3.41,3.16,GST113,,,,,,,,,60B,45D,45D,60B,62B,45D,22F,,,,,,2.64,3.22,"CSC314,GST113"
36,60B,52C,45D,54C,46D,45D,48D,51C,57C,45D,64B,65B,46D,2.61,2.61,PASS,,45D,50C,,,50C,71A,50C,54C,45D,45D,51C,70A,45D,2.96,2.77,PASS,,,63B,,,,,45D,70A,55C,31F,21F,50C,,,,,60B,45D,,,,,45D,2.44,2.77,"CSC207,CSC2093",,,74A,,,47D,54C,50C,56C,,53C,,,57C,,,61B,,3.10,2.76,"CSC207,CSC2093",,,,,,,,3F,55C,,60B,60B,46D,,56C,45D,52C,62B,,,,,,,,,,,2.77,2.76,"CSC305,GST301,CSC207",,,,,,,,,,,,,,,,,,,,,0.00,2.76,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC305,GST301,CSC207"
37,50C,52C,46D,50C,46D,50C,46D,50C,46D,45D,62B,57C,45D,2.50,2.50,PASS,,60B,,,74A,70A,70A,73A,50C,61B,45D,54C,66B,50C,3.83,3.12,PASS,,,66B,,,,,51C,73A,50C,56C,55C,62B,,,,,57C,57C,,,,,53C,3.32,3.12,PASS,,,66B,,,66B,63B,60B,50C,,74A,,,65B,,,71A,,4.10,3.38,PASS,,,,,,,,,,,71A,82A,86A,73A,60B,50C,60B,74A,,,64B,,,,,,,,4.46,3.38,PASS,,,,,,,,,80A,63B,62B,70A,65B,50C,60B,,,,,,4.18,3.60,PASS
38,51C,0F,30F,45D,61B,53C,63B,68B,79A,47D,56C,73A,25F,2.61,2.61,"AFE103,BIO101,STA111",,52C,,,94A,50C,55C,53C,61B,60B,53C,50C,64B,45D,3.25,2.90,"AFE103,BIO101,STA111",,,64B,,50C,,,45D,,45D,50C,45D,64B,,,,,51C,46D,,,,45D,45D,2.46,2.90,"CSC203,AFE103",,,85A,,,53C,62B,56C,54C,,70A,,,71A,,,60B,,3.86,2.98,"CSC203,AFE103",,,,,,61B,,,,,64B,70A,52C,60B,54C,50C,70A,53C,,,61B,,,,,,,,3.79,2.98,AFE103,,,,,,,,,78A,45D,60B,65B,60B,45D,60B,,,,,,3.64,3.16,AFE103
39,52C,54C,45D,55C,61B,50C,34F,52C,45D,51C,64B,51C,46D,2.64,2.64,GST113,,55C,,65B,,60B,77A,54C,55C,61B,50C,53C,66B,62B,3.67,3.12,GST113,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3.12,"CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,GST113",,,,,,,,,,,,,,,,,,,0.00,3.12,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,GST113",,,,,45D,45D,45D,,34F,,,,,,,,,,,,,,12F,53C,,,,15F,1.35,3.12,"STA211,CSC2093,MAT201,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,MAT204,CSC211,CSC207,STA211,CSC2093,MAT201,AFE203,AFE2051,GST113",,,65B,57C,57C,45D,0F,,,0F,,,,,,56C,45D,,,45D,1.95,2.63,"CSC304,CSC208,CSC302,CSC306,CSC308,CSC310,CSC312,CSC314,STA211,CSC2093,MAT201,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,MAT204,CSC211,CSC207,STA211,CSC2093,MAT201,AFE203,AFE2051,GST113"
40,51C,45D,19F,52C,46D,29F,60B,55C,46D,48D,61B,0F,45D,2.07,2.07,"PHY107,BIO101,GST111",,50C,70A,,,45D,30F,51C,53C,14F,45D,45D,0F,17F,1.58,1.85,"CSC104,PHY108,STA132,MAT102,PHY107,BIO101,GST111",,,,,46D,,,45D,51C,,45D,12F,51C,,,,,45D,45D,,,,,9F,1.75,1.85,"CSC2093,STA211,CSC205,AFE203,AFE2051,PHY108,PHY107,GST111",,,85A,,70A,45D,63B,46D,48D,,65B,50C,,64B,,,,52C,3.27,2.19,"PHY202,CSC2093,STA211,CSC205,AFE203,AFE2051,PHY108,PHY107,GST111",,,61B,,,,12F,,45D,,,,,68B,56C,16F,,20F,,,55C,,,,,51C,,60B,2.08,2.19,"CSC315,CSC309,CSC205,CSC301,CSC311,CSC303,CSC299,CSC205,GST111",,,,,,,,,47D,45D,45D,63B,,23F,45D,,,,72A,45D,2.14,2.17,"CSC312,CSC310,CSC315,CSC309,CSC205,CSC301,CSC311,CSC303,CSC299,CSC205,GST111"
41,51C,60B,60B,51C,77A,55C,70A,79A,51C,78A,78A,83A,70A,4.21,4.21,PASS,,63B,,,85A,71A,84A,65B,67B,71A,79A,61B,70A,60B,4.58,4.38,PASS,,,73A,,,,,50C,82A,73A,65B,47D,72A,,,,,75A,70A,,,,,73A,4.40,4.38,PASS,,,70A,,,83A,65B,66B,53C,,70A,,,57C,,,72A,,4.14,4.34,PASS,,,,,,,,,,,62B,85A,81A,82A,74A,70A,71A,61B,,,63B,,,,,,,,4.69,4.34,PASS,,,,,,,,,84A,80A,71A,82A,84A,60B,71A,,,,,,4.86,4.41,PASS
42,60B,60B,45D,45D,50C,50C,71A,70A,50C,48D,57C,67B,45D,3.00,3.00,PASS,60B,,,71A,,60B,70A,72A,50C,60B,60B,70A,68B,71A,4.38,3.63,PASS,,,,60B,,,,60B,70A,70A,61B,62B,67B,,,,,60B,60B,,,,,60B,4.24,3.63,PASS,,,83A,,,71A,67B,71A,71A,,66B,,,74A,,,77A,,4.76,4.03,PASS,,,,,,,,,,,71A,60B,60B,60B,62B,61B,71A,61B,,,60B,,,,,,,,4.23,4.03,PASS,,,,,,,,,62B,50C,50C,70A,64B,50C,60B,,,,,,3.73,4.07,PASS
43,46D,45D,45D,60B,50C,36F,45D,47D,63B,45D,57C,45D,22F,2.25,2.25,"GST111,STA111",,65B,,,90A,50C,51C,56C,50C,50C,45D,53C,61B,52C,3.04,2.62,"GST111,STA111",,,,,,,,45D,54C,45D,45D,45D,54C,45D,,,,46D,,,,,65B,61B,2.62,2.62,"MAT205,AFE203,AFE2051",,,84A,,,65B,72A,66B,50C,,57C,,,73A,,,61B,,4.10,2.93,"MAT205,AFE203,AFE2051",,,,,,,,,,,64B,64B,45D,73A,57C,45D,50C,45D,,,50C,,,45D,,,,,3.00,2.93,"AFE203,AFE2051",,,,,,,,,70A,45D,50C,64B,52C,45D,60B,,,,,,3.36,2.95,"AFE203,AFE2051"
44,54C,63B,45D,51C,51C,50C,45D,62B,78A,45D,62B,67B,45D,3.07,3.07,PASS,,27F,,57C,,45D,70A,62B,62B,50C,50C,45D,66B,45D,3.00,3.04,AFE126,,,48D,,,,,45D,46D,34F,50C,54C,52C,,,,,46D,46D,,,,,50C,2.12,3.04,CSC205,77A,,77A,,,55C,67B,70A,52C,,67B,,,55C,,,65B,,3.82,2.98,CSC205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.98,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC205",,,,,,,,,,,,,,,,,,,,,0.00,2.98,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC205"
45,46D,50C,46D,63B,80A,45D,56C,73A,24F,0F,58C,68B,46D,2.64,2.64,"PHY101,MAT101",,60B,57C,,,50C,70A,54C,53C,50C,50C,46D,51C,15F,2.92,2.77,"STA132,PHY101,MAT101",,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.77,"CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,STA132,PHY101,MAT101",,,,,,,,,,,,,,,,,,,0.00,2.77,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,STA132,PHY101,MAT101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.77,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,STA132,PHY101,MAT101",,,,,,,,,,,,,,,,,,,,,0.00,2.77,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CCSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314"
46,46D,46D,45D,51C,45D,46D,60B,45D,72A,42F,65B,0F,45D,2.50,2.50,"PHY107,PHY101",,62B,,,94A,51C,60B,52C,52C,60B,50C,54C,48D,51C,3.33,2.88,"PHY107,PHY101",,,70A,,,,,50C,62B,39F,45D,21F,58C,,,,,62B,54C,66B,,55C,,45D,2.61,2.88,"CSC205,CSC2093",,,80A,,,55C,74A,62B,54C,,64B,,,71A,,,70A,,4.19,3.08,"CSC205,CSC2093",,,,,,,45D,,50C,,64B,62B,45D,66B,45D,45D,45D,45D,,,54C,,,,,,,,2.71,3.08,PASS,,,,,,,,,62B,45D,60B,60B,56C,45D,61B,,,,,,3.32,2.99,PASS
47,51C,60B,45D,56C,45D,45D,40F,66B,54C,50C,63B,45D,60B,2.75,2.75,GST113,,60B,,,83A,45D,72A,55C,60B,50C,50C,50C,45D,50C,3.29,3.00,GST113,,,74A,,,,,50C,62B,51C,51C,45D,51C,,,,,62B,45D,,,,,51C,3.12,3.00,GST113,,,78A,,,56C,0F,52C,47D,,61B,,,64B,,,,,2.72,2.98,"CSC204,PHY202,GST113",,,,,,,,,,,55C,50C,46D,55C,54C,45D,45D,50C,,,55C,,,,,,,,2.65,2.98,GST113,,,,,50C,,,,63B,18F,61B,52C,50C,45D,46D,,,,,55C,2.69,2.91,"CSC304,GST113"
48,52C,50C,30F,47D,61B,45D,45D,31F,55C,55C,70A,0F,45D,2.25,2.25,"PHY107,BIO101,GST115",,30F,,,85A,50C,45D,47D,45D,50C,50C,54C,58C,50C,2.67,2.44,"AFE126,PHY107,BIO101,GST115",,,53C,,45D,,,50C,,50C,51C,50C,51C,,,46D,,50C,56C,,,,,51C,2.81,2.44,"CSC203,PHY107",68B,,81A,,,51C,67B,64B,53C,,53C,,,72A,,,54C,,3.68,2.81,"CSC203,PHY107",,,,,,45D,,,,,60B,63B,46D,57C,56C,50C,62B,72A,,,62B,,,,,,,,3.38,2.81,PHY107,,,,,,,,,80A,45D,50C,65B,50C,45D,53C,,,,,,3.23,2.94,PHY107
49,57C,64B,46D,65B,70A,60B,48D,70A,61B,53C,76A,79A,55C,3.71,3.71,PASS,,63B,,,72A,70A,61B,56C,64B,62B,51C,45D,76A,70A,3.83,3.77,PASS,,,66B,,,,,50C,82A,70A,61B,56C,60B,,,,,55C,75A,,,,,70A,4.16,3.77,PASS,,,67B,,,60B,63B,51C,31F,,45D,,,50C,,,50C,,2.81,3.66,CSC208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3.66,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208",,,,,,,,,,,,,,,,,,,,,0.00,3.66,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208"
50,46D,56C,45D,50C,50C,46D,32F,62B,63B,34F,60B,60B,50C,2.64,2.64,"PHY101,GST113",,46D,,,90A,61B,64B,61B,60B,50C,50C,52C,63B,47D,3.42,3.00,"PHY101,GST113",,,,,,,,45D,65B,45D,52C,50C,58C,,45D,,,63B,45D,,,,,45D,2.69,3.00,"AFE203,AFE2051,PHY101",,,74A,,,50C,65B,60B,50C,,60B,,,61B,,,65B,,3.76,3.08,"AFE203,AFE2051,PHY101",,,46D,,,,,,,,55C,61B,45D,61B,51C,45D,52C,50C,,,54C,,,,66B,,,,3.03,3.08,PASS,,,,,,,,,67B,23F,70A,71A,55C,50C,46D,,,,,,3.18,3.07,CSC304
51,50C,51C,45D,52C,45D,32F,51C,50C,71A,48D,60B,23F,70A,2.89,2.89,"GST111,PHY107",,0F,,,80A,51C,64B,0F,0F,51C,50C,61B,65B,51C,2.75,2.83,"GST122,GST114,AFE126,GST111,PHY107",,,71A,,,,,45D,53C,51C,45D,48D,54C,,,,,74A,56C,,,,,45D,2.88,2.83,"GST122,GST114,AFE126,GST111,PHY107",,,77A,,,29F,68B,54C,53C,,61B,,,63B,,,63B,,3.19,2.92,"CSC202,GST122,GST114,AFE126,GST111,PHY107",,,,,,,,,,,60B,60B,47D,70A,64B,18F,50C,20F,,,65B,,,,,,,,2.85,2.92,"CSC315,CSC309,CSC202,GST122,GST114,GST111,PHY107",52C,,,8F,,,,,71A,,,45D,70A,45D,75A,,,,,,3.25,2.90,"CSC304,CSC306,CSC315,CSC309,CSC202,GST122,GST114,GST111,PHY107"
52,65B,60B,50C,63B,80A,62B,65B,77A,61B,73A,76A,74A,78A,4.36,4.36,PASS,81A,,,83A,,70A,74A,72A,73A,72A,71A,56C,66B,72A,4.71,4.52,PASS,,,,86A,,,,74A,81A,79A,74A,50C,70A,,,,,86A,81A,,,,,70A,4.84,4.52,PASS,,,86A,,,86A,77A,76A,66B,,80A,,,71A,,,72A,,4.86,4.67,PASS,,,,,,,,,,,60B,84A,84A,80A,65B,60B,84A,71A,,,65B,,,,,,,,4.58,4.67,PASS,,,,,,,,,79A,75A,72A,87A,81A,95A,74A,,,,,,5.00,4.65,PASS
53,80A,60B,45D,46D,80A,50C,62B,71A,71A,57C,62B,77A,60B,3.79,3.79,PASS,,46D,,61B,,53C,52C,60B,60B,50C,45D,46D,65B,52C,2.96,3.40,PASS,,,68B,,,,,50C,52C,55C,45D,52C,58C,,,,,45D,46D,,,,,45D,2.56,3.40,PASS,,,,,,,,,,,,,,,,,,,0.00,3.13,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,3.13,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212",,,,,,,,,,,,,,,,,,,,,0.00,3.13,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212"
54,46D,51C,32F,60B,61B,33F,33F,47D,45D,60B,45D,16F,74A,2.36,2.36,"GST111,BIO101,PHY107,GST113",,48D,60B,,,50C,70A,54C,50C,50C,45D,51C,63B,54C,3.17,2.73,"GST111,BIO101,PHY107,GST113",,,,,,,,0F,0F,60B,50C,46D,0F,,,,,31F,50C,,,,,45D,1.67,2.73,"MAT201,CSC211,CSC203,CSC201,AFE203,AFE2051,GST111,BIO101,PHY107,GST113",,,64B,,,45D,50C,56C,60B,,65B,,,53C,,,56C,,3.14,2.56,"MAT201,CSC211,CSC203,CSC201,AFE203,AFE2051,GST111,BIO101,PHY107,GST113",,,,,,,,,,,70A,72A,45D,50C,50C,20F,50C,50C,,,60B,,,,,,,,3.08,2.56,"CSC309,MAT201,CSC211,CSC203,CSC201,AFE203,AFE2051,GST111,BIO101,PHY107,GST113",,,,,,,,,60B,22F,50C,64B,51C,45D,61B,,,,,,2.91,2.67,"CSC304,CSC309,MAT201,CSC211,CSC203,CSC201,AFE203,AFE2051,GST111,BIO101,PHY107,GST113"
55,46D,46D,45D,47D,63B,37F,34F,53C,77A,50C,61B,63B,71A,2.93,2.93,"GST111,GST113",68B,,,,95A,51C,63B,61B,57C,60B,50C,54C,56C,50C,3.46,3.17,"GST111,GST113",,,,,,,,45D,56C,70A,45D,51C,54C,53C,45D,,,61B,45D,,,,,50C,2.93,3.17,"AFE203,AFE2051",,,81A,,,57C,68B,57C,,,61B,,,63B,,,70A,,3.89,3.23,"CSC208,AFE203,AFE2051",,67B,,,,,,,,,60B,60B,45D,73A,45D,45D,50C,50C,,,58C,,,,,,,,3.15,3.23,PASS,,,,,,,52C,,78A,45D,17F,60B,50C,45D,35F,,,,,,2.46,3.22,"CSC306,CSC314"
