STUDENT ID,AFE 101,AFE 103,BIO 101,CHM101,CSC 101,GST 111,GST 113,GST 115,MAT 101,PHY 101,PHY 103,PHY 107,STA 111,100L_1ST_GPA,100L_1ST_CGPA,100L_1ST_REMARK,AFE 124,AFE126,AFE128,AFE130,AFE132,CSC 102,CSC 104,GST114,GST122,MAT102,MAT104,PHY 102,PHY108,STA 132,100L_2ND_GPA,100L_2ND_CGPA,100L_2ND_REMARK,AFE 101,AFE 103,AFE203,AFE2051,BIO 101,CHM101,CSC 101,CSC 201,CSC203,CSC205,CSC207,CSC2093,CSC 211,GST 111,GST 113,GST 115,MAT 101,MAT201,MAT 205,PHY 101,PHY 103,PHY 107,STA 111,STA 211,200L_1ST_GPA,200L_1ST_CGPA,200L_1ST_REMARK,AFE126,AFE130,AFE202,CSC 102,CSC 104,CSC202,CSC204,CSC206,CSC208,GST114,GST212,MAT102,MAT104,MAT204,PHY 102,PHY108,PHY202,STA 132,200L_2ND_GPA,200L_2ND_CGPA,200L_2ND_REMARK,AFE 103,AFE203,AFE2051,BIO 101,CSC 201,CSC203,CSC205,CSC207,CSC2093,CSC 211,CSC299,CSC301,CSC303,CSC305,CSC307,CSC309,CSC311,CSC315,GST 113,GST 115,GST301,MAT 101,MAT201,MAT 205,PHY 101,PHY 107,STA 111,STA 211,300L_1ST_GPA,300L_1ST_CGPA,300L_1ST_REMARK,AFE126,AFE128,AFE202,CSC202,CSC 204,CSC 206,CSC 208,CSC208,CSC 302,CSC 304,CSC 306,CSC 308,CSC 310,CSC 312,CSC 314,GST212,MAT 204,PHY 102,PHY108,PHY 202,300L_2ND_GPA,300L_2ND_CGPA,300L_2ND_REMARK
15,50C,60B,35F,34F,,77A,50C,87A,45D,55C,23F,47D,,2.14,2.14,"CHM101,PHY103,BIO101,CSC101,STA111",29F,,,,,,,65B,50C,38F,,56C,14F,,1.92,2.06,"MAT102,PHY108,AFE124,STA132,CSC102,MAT104,CSC104,AFE128,AFE130,AFE132,CHM101,PHY103,BIO101,CSC101,STA111",,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.06,"CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,MAT102,PHY108,AFE124,STA132,CSC102,MAT104,CSC104,AFE128,AFE130,AFE132,CHM101,PHY103,BIO101,CSC101,STA111",,,,,,,,,,,,,,,,,,,0.00,2.06,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,MAT102,PHY108,AFE124,STA132,CSC102,MAT104,CSC104,AFE128,AFE130,AFE132,CHM101,PHY103,CSC208,CSC206,CSC202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.06,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051,MAT102,PHY108,AFE124,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202",,,,,,,,,,,,,,,,,,,,,0.00,2.06,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CCSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202"
16,45D,60B,45D,45D,,50C,60B,50C,55C,45D,54C,27F,,2.59,2.59,"PHY107,CSC101,STA111",57C,,55C,,,,,47D,57C,45D,,36F,29F,,1.69,2.26,"PHY108,PHY102,STA132,CSC102,MAT104,CSC104,PHY107,CSC101,STA111",,,,67B,,,45D,45D,60B,45D,45D,46D,50C,,,,,50C,50C,,,,36F,,2.32,2.26,"STA111,STA211,STA132,PHY107,STA111",,,,60B,83A,56C,63B,53C,,,,,54C,53C,52C,52C,62B,,3.54,2.67,"CSC208,AFE202,GST212,STA111,STA211,STA132,PHY107,STA111",,,,,,,,,,,72A,51C,45D,60B,50C,14F,25F,45D,,,,,,,,,56C,50C,2.50,2.67,"CSC311,CSC309,GST301,AFE202,GST212,STA132,PHY107",,,,,,,50C,,56C,45D,51C,45D,60B,,,33F,,,,,2.55,2.63,"GST212,CSC312,CSC314,CSC311,CSC309,GST301,AFE202,GST212,STA132,PHY107"
17,57C,54C,45D,53C,50C,45D,50C,52C,45D,47D,55C,71A,45D,2.61,2.61,PASS,,46D,,,90A,70A,60B,54C,60B,50C,45D,51C,67B,50C,3.42,2.98,PASS,,,64B,,,,,45D,60B,50C,55C,50C,52C,,,,,65B,50C,,,,,46D,3.04,2.98,PASS,,,75A,,,60B,62B,62B,51C,,50C,,,51C,,,56C,,3.52,3.11,PASS,,,,,,,,,,,54C,76A,64B,64B,70A,45D,50C,46D,,,75A,,,,,,,,3.62,3.11,PASS,,,,,,,,,80A,45D,60B,62B,61B,45D,45D,,,,,,3.36,3.22,PASS
18,75A,51C,55C,51C,55C,50C,60B,70A,78A,66B,61B,75A,45D,3.61,3.61,PASS,72A,,,63B,,60B,70A,63B,60B,60B,50C,51C,64B,60B,3.92,3.75,PASS,,,,78A,,,,45D,72A,60B,56C,45D,52C,,,,,71A,63B,,,,,60B,3.72,3.75,PASS,,,76A,,,67B,61B,63B,57C,,70A,,,51C,,,72A,,4.00,3.80,PASS,,,,,,,,,,,67B,78A,65B,54C,53C,50C,51C,55C,,,68B,,,,,,,,3.54,3.80,PASS,,,,,,,,,76A,65B,60B,70A,71A,50C,71A,,,,,,4.45,3.74,PASS
19,50C,50C,45D,53C,50C,45D,54C,74A,68B,47D,64B,72A,45D,3.04,3.04,PASS,,50C,,73A,,45D,60B,73A,61B,15F,45D,50C,61B,45D,2.79,2.92,MAT102,,,68B,,,,,50C,60B,60B,50C,46D,50C,,,,,46D,50C,,,,,51C,3.08,2.92,PASS,,,73A,,,72A,65B,60B,57C,,79A,50C,,73A,,,65B,,4.13,3.25,PASS,,,,,,,,,,,52C,66B,58C,70A,70A,50C,60B,45D,,,65B,,,,,,,,3.65,3.25,PASS,,,,,,,,,70A,53C,60B,71A,61B,50C,63B,,,,,,4.05,3.33,PASS
20,63B,53C,45D,51C,50C,46D,46D,58C,45D,48D,63B,79A,51C,2.75,2.75,PASS,,60B,,67B,,56C,50C,55C,55C,45D,45D,45D,60B,50C,2.75,2.75,PASS,,,63B,,,,,45D,53C,45D,50C,45D,50C,,,,,45D,46D,,,,,45D,2.36,2.75,PASS,,,74A,,,57C,,60B,52C,,61B,,,63B,,,52C,,3.56,2.80,CSC204,,,,,,,,,,,60B,53C,50C,67B,60B,50C,45D,45D,,,61B,,,,,,,,3.19,2.80,PASS,,,,,50C,,,,62B,50C,61B,60B,50C,45D,60B,,,,,,3.42,2.88,PASS
21,61B,55C,46D,54C,50C,54C,47D,48D,71A,47D,54C,51C,25F,2.61,2.61,STA111,,46D,,48D,,53C,45D,47D,52C,45D,53C,50C,60B,50C,2.63,2.62,STA111,,,61B,,,,,45D,46D,,45D,47D,64B,,,,,51C,50C,,,,,45D,2.45,2.62,"CSC205,STA111",,,,,,,,,,,,,,,,,,,0.00,2.57,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC205,STA111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,2.57,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC205,STA111",,,,,,,,,,,,,,,,,,,,,0.00,2.57,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC205,STA111"
22,65B,52C,45D,46D,17F,33F,35F,50C,67B,46D,45D,20F,45D,1.82,1.82,"GST111,CSC101,GST113,PHY107",,47D,45D,,,12F,45D,46D,50C,50C,21F,51C,58C,45D,1.88,1.85,"MAT104,CSC102,GST111,CSC101,GST113,PHY107",,,66B,,,,,45D,29F,45D,22F,45D,52C,,45D,,,45D,16F,,,64B,,46D,1.54,1.85,"CSC207,CSC203,MAT205,CSC102,GST111,CSC101",,,,,,50C,60B,41F,48D,,53C,,50C,65B,,,59C,,2.74,1.96,"CSC206,AFE202,CSC207,CSC203,MAT205,CSC102,GST111,CSC101",,,,,,,,,,,61B,65B,26F,46D,50C,45D,45D,45D,,,56C,,,,,,,,2.42,1.96,"CSC303,CSC206,AFE202,CSC207,CSC203,MAT205,CSC102,GST111,CSC101",,,,,,6F,,,62B,3F,20F,73A,50C,17F,,,,,,,1.90,2.05,"CSC206,CSC304,CSC312,CSC306,CSC314,CSC303,CSC206,AFE202,CSC207,CSC203,MAT205,CSC102,GST111,CSC101"
23,60B,51C,45D,51C,74A,45D,65B,78A,45D,68B,58C,61B,76A,3.50,3.50,PASS,,56C,,,86A,50C,50C,53C,60B,64B,45D,56C,63B,46D,3.13,3.33,PASS,,,70A,,,,,45D,54C,63B,55C,50C,58C,,,,,56C,51C,,,,,10F,2.72,3.33,STA211,,,81A,,,67B,65B,60B,47D,,57C,,,73A,,,67B,,3.81,3.28,STA211,,,,,,,,,,,60B,62B,50C,68B,71A,45D,50C,45D,,,60B,,,,,,,50C,3.38,3.28,PASS,,,,,,,,,50C,50C,17F,61B,60B,45D,45D,,,,,,2.59,3.30,CSC306
24,65B,57C,50C,61B,63B,61B,61B,60B,60B,65B,76A,76A,72A,4.07,4.07,PASS,,70A,60B,,,61B,82A,64B,63B,60B,60B,60B,66B,72A,4.25,4.15,PASS,,,,,,,,,,,,,,,,,,,,,,,,,0.00,4.15,"CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051",,,,,,,,,,,,,,,,,,,0.00,4.15,"CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,4.15,"CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CSC203,MAT205,AFE203,AFE2051",,,,,,,,,,,,,,,,,,,,,0.00,4.15,"CSC302,CSC304,CSC306,CSC308,CSC310,CSC312,CSC314,CSC301,CSC305,CSC311,CSC303,CSC309,CSC307,GST301,CSC299,CSC315,CSC208,CSC206,CSC202,CSC204,AFE202,MAT204,PHY202,GST212,CSC211,CSC207,STA211,CSC2093,CSC201,CSC205,MAT201,CCSC302,CSC304,CSC306,CSC308"
